,exp,celltype,celltype_n,modality,file,atlas_name,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,task
101,BasalGanglia-CN-VIP-GABA_RNAplus,BasalGanglia-CN-VIP-GABA,842,RNAplus,./Data/source/ENCODE_RNA_bw/CN_VIP_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
102,BasalGanglia-STR-SST-CHODL-GABA_ATAC,BasalGanglia-STR-SST-CHODL-GABA,730,ATAC,./Data/source/ATAC_bw/STR_SST-CHODL_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
103,BasalGanglia-STR-SST-CHODL-GABA_K27Ac,BasalGanglia-STR-SST-CHODL-GABA,730,K27Ac,./Data/source/bamCoverage_bw/STR_SST-CHODL_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
104,BasalGanglia-STR-SST-CHODL-GABA_K27Me3,BasalGanglia-STR-SST-CHODL-GABA,730,K27Me3,./Data/source/bamCoverage_bw/STR_SST-CHODL_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
105,BasalGanglia-STR-SST-CHODL-GABA_K9Me3,BasalGanglia-STR-SST-CHODL-GABA,730,K9Me3,./Data/source/bamCoverage_bw/STR_SST-CHODL_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
106,BasalGanglia-STR-SST-CHODL-GABA_RNAminus,BasalGanglia-STR-SST-CHODL-GABA,730,RNAminus,./Data/source/ENCODE_RNA_bw/STR_SST-CHODL_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
107,BasalGanglia-STR-SST-CHODL-GABA_RNAplus,BasalGanglia-STR-SST-CHODL-GABA,730,RNAplus,./Data/source/ENCODE_RNA_bw/STR_SST-CHODL_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
108,BasalGanglia-CN-LAMP5-CXCL14-GABA_ATAC,BasalGanglia-CN-LAMP5-CXCL14-GABA,718,ATAC,./Data/source/ATAC_bw/CN_LAMP5-CXCL14_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
109,BasalGanglia-CN-LAMP5-CXCL14-GABA_K27Ac,BasalGanglia-CN-LAMP5-CXCL14-GABA,718,K27Ac,./Data/source/bamCoverage_bw/CN_LAMP5-CXCL14_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
110,BasalGanglia-CN-LAMP5-CXCL14-GABA_K27Me3,BasalGanglia-CN-LAMP5-CXCL14-GABA,718,K27Me3,./Data/source/bamCoverage_bw/CN_LAMP5-CXCL14_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
111,BasalGanglia-CN-LAMP5-CXCL14-GABA_K9Me3,BasalGanglia-CN-LAMP5-CXCL14-GABA,718,K9Me3,./Data/source/bamCoverage_bw/CN_LAMP5-CXCL14_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
112,BasalGanglia-CN-LAMP5-CXCL14-GABA_RNAminus,BasalGanglia-CN-LAMP5-CXCL14-GABA,718,RNAminus,./Data/source/ENCODE_RNA_bw/CN_LAMP5-CXCL14_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
113,BasalGanglia-CN-LAMP5-CXCL14-GABA_RNAplus,BasalGanglia-CN-LAMP5-CXCL14-GABA,718,RNAplus,./Data/source/ENCODE_RNA_bw/CN_LAMP5-CXCL14_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
114,BasalGanglia-COP_ATAC,BasalGanglia-COP,669,ATAC,./Data/source/ATAC_bw/COP.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
115,BasalGanglia-COP_K27Ac,BasalGanglia-COP,669,K27Ac,./Data/source/bamCoverage_bw/COP.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
116,BasalGanglia-COP_K27Me3,BasalGanglia-COP,669,K27Me3,./Data/source/bamCoverage_bw/COP.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
117,BasalGanglia-COP_K9Me3,BasalGanglia-COP,669,K9Me3,./Data/source/bamCoverage_bw/COP.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
118,BasalGanglia-COP_RNAminus,BasalGanglia-COP,669,RNAminus,./Data/source/ENCODE_RNA_bw/COP.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
119,BasalGanglia-COP_RNAplus,BasalGanglia-COP,669,RNAplus,./Data/source/ENCODE_RNA_bw/COP.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
120,BasalGanglia-Ependymal_ATAC,BasalGanglia-Ependymal,643,ATAC,./Data/source/ATAC_bw/Ependymal.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
121,BasalGanglia-Ependymal_K27Ac,BasalGanglia-Ependymal,643,K27Ac,./Data/source/bamCoverage_bw/Ependymal.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
122,BasalGanglia-Ependymal_K27Me3,BasalGanglia-Ependymal,643,K27Me3,./Data/source/bamCoverage_bw/Ependymal.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
123,BasalGanglia-Ependymal_K9Me3,BasalGanglia-Ependymal,643,K9Me3,./Data/source/bamCoverage_bw/Ependymal.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
124,BasalGanglia-Ependymal_RNAminus,BasalGanglia-Ependymal,643,RNAminus,./Data/source/ENCODE_RNA_bw/Ependymal.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
125,BasalGanglia-Ependymal_RNAplus,BasalGanglia-Ependymal,643,RNAplus,./Data/source/ENCODE_RNA_bw/Ependymal.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
126,BasalGanglia-Macrophage_ATAC,BasalGanglia-Macrophage,603,ATAC,./Data/source/ATAC_bw/Macrophage.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
127,BasalGanglia-Macrophage_K27Ac,BasalGanglia-Macrophage,603,K27Ac,./Data/source/bamCoverage_bw/Macrophage.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
128,BasalGanglia-Macrophage_K27Me3,BasalGanglia-Macrophage,603,K27Me3,./Data/source/bamCoverage_bw/Macrophage.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
129,BasalGanglia-Macrophage_K9Me3,BasalGanglia-Macrophage,603,K9Me3,./Data/source/bamCoverage_bw/Macrophage.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
130,BasalGanglia-Macrophage_RNAminus,BasalGanglia-Macrophage,603,RNAminus,./Data/source/ENCODE_RNA_bw/Macrophage.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
131,BasalGanglia-Macrophage_RNAplus,BasalGanglia-Macrophage,603,RNAplus,./Data/source/ENCODE_RNA_bw/Macrophage.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
132,BasalGanglia-STR-RSPO2-GABA_ATAC,BasalGanglia-STR-RSPO2-GABA,426,ATAC,./Data/source/ATAC_bw/STR_RSPO2_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
133,BasalGanglia-STR-RSPO2-GABA_K27Ac,BasalGanglia-STR-RSPO2-GABA,426,K27Ac,./Data/source/bamCoverage_bw/STR_RSPO2_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
134,BasalGanglia-STR-RSPO2-GABA_K27Me3,BasalGanglia-STR-RSPO2-GABA,426,K27Me3,./Data/source/bamCoverage_bw/STR_RSPO2_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
135,BasalGanglia-STR-RSPO2-GABA_K9Me3,BasalGanglia-STR-RSPO2-GABA,426,K9Me3,./Data/source/bamCoverage_bw/STR_RSPO2_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
136,BasalGanglia-STR-RSPO2-GABA_RNAminus,BasalGanglia-STR-RSPO2-GABA,426,RNAminus,./Data/source/ENCODE_RNA_bw/STR_RSPO2_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
137,BasalGanglia-STR-RSPO2-GABA_RNAplus,BasalGanglia-STR-RSPO2-GABA,426,RNAplus,./Data/source/ENCODE_RNA_bw/STR_RSPO2_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
138,BasalGanglia-Pericyte_ATAC,BasalGanglia-Pericyte,371,ATAC,./Data/source/ATAC_bw/Pericyte.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
139,BasalGanglia-Pericyte_K27Ac,BasalGanglia-Pericyte,371,K27Ac,./Data/source/bamCoverage_bw/Pericyte.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
140,BasalGanglia-Pericyte_K27Me3,BasalGanglia-Pericyte,371,K27Me3,./Data/source/bamCoverage_bw/Pericyte.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
141,BasalGanglia-Pericyte_K9Me3,BasalGanglia-Pericyte,371,K9Me3,./Data/source/bamCoverage_bw/Pericyte.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
142,BasalGanglia-Pericyte_RNAminus,BasalGanglia-Pericyte,371,RNAminus,./Data/source/ENCODE_RNA_bw/Pericyte.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
143,BasalGanglia-Pericyte_RNAplus,BasalGanglia-Pericyte,371,RNAplus,./Data/source/ENCODE_RNA_bw/Pericyte.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
144,BasalGanglia-CN-Cholinergic-GABA_ATAC,BasalGanglia-CN-Cholinergic-GABA,350,ATAC,./Data/source/ATAC_bw/CN_Cholinergic_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
145,BasalGanglia-CN-Cholinergic-GABA_K27Ac,BasalGanglia-CN-Cholinergic-GABA,350,K27Ac,./Data/source/bamCoverage_bw/CN_Cholinergic_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
146,BasalGanglia-CN-Cholinergic-GABA_K27Me3,BasalGanglia-CN-Cholinergic-GABA,350,K27Me3,./Data/source/bamCoverage_bw/CN_Cholinergic_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
147,BasalGanglia-CN-Cholinergic-GABA_K9Me3,BasalGanglia-CN-Cholinergic-GABA,350,K9Me3,./Data/source/bamCoverage_bw/CN_Cholinergic_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
148,BasalGanglia-CN-Cholinergic-GABA_RNAminus,BasalGanglia-CN-Cholinergic-GABA,350,RNAminus,./Data/source/ENCODE_RNA_bw/CN_Cholinergic_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
149,BasalGanglia-CN-Cholinergic-GABA_RNAplus,BasalGanglia-CN-Cholinergic-GABA,350,RNAplus,./Data/source/ENCODE_RNA_bw/CN_Cholinergic_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
150,BasalGanglia-VLMC_ATAC,BasalGanglia-VLMC,343,ATAC,./Data/source/ATAC_bw/VLMC.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
151,BasalGanglia-VLMC_K27Ac,BasalGanglia-VLMC,343,K27Ac,./Data/source/bamCoverage_bw/VLMC.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
152,BasalGanglia-VLMC_K27Me3,BasalGanglia-VLMC,343,K27Me3,./Data/source/bamCoverage_bw/VLMC.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
153,BasalGanglia-VLMC_K9Me3,BasalGanglia-VLMC,343,K9Me3,./Data/source/bamCoverage_bw/VLMC.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
154,BasalGanglia-VLMC_RNAminus,BasalGanglia-VLMC,343,RNAminus,./Data/source/ENCODE_RNA_bw/VLMC.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
155,BasalGanglia-VLMC_RNAplus,BasalGanglia-VLMC,343,RNAplus,./Data/source/ENCODE_RNA_bw/VLMC.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
156,BasalGanglia-ACx-MEIS2-GABA_ATAC,BasalGanglia-ACx-MEIS2-GABA,270,ATAC,./Data/source/ATAC_bw/ACx_MEIS2_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
157,BasalGanglia-ACx-MEIS2-GABA_K27Ac,BasalGanglia-ACx-MEIS2-GABA,270,K27Ac,./Data/source/bamCoverage_bw/ACx_MEIS2_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
158,BasalGanglia-ACx-MEIS2-GABA_K27Me3,BasalGanglia-ACx-MEIS2-GABA,270,K27Me3,./Data/source/bamCoverage_bw/ACx_MEIS2_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
159,BasalGanglia-ACx-MEIS2-GABA_K9Me3,BasalGanglia-ACx-MEIS2-GABA,270,K9Me3,./Data/source/bamCoverage_bw/ACx_MEIS2_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
160,BasalGanglia-ACx-MEIS2-GABA_RNAminus,BasalGanglia-ACx-MEIS2-GABA,270,RNAminus,./Data/source/ENCODE_RNA_bw/ACx_MEIS2_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
161,BasalGanglia-ACx-MEIS2-GABA_RNAplus,BasalGanglia-ACx-MEIS2-GABA,270,RNAplus,./Data/source/ENCODE_RNA_bw/ACx_MEIS2_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
162,BasalGanglia-SN-PAX7-GABA_ATAC,BasalGanglia-SN-PAX7-GABA,197,ATAC,./Data/source/ATAC_bw/SN_PAX7_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
163,BasalGanglia-SN-PAX7-GABA_K27Ac,BasalGanglia-SN-PAX7-GABA,197,K27Ac,./Data/source/bamCoverage_bw/SN_PAX7_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
164,BasalGanglia-SN-PAX7-GABA_K27Me3,BasalGanglia-SN-PAX7-GABA,197,K27Me3,./Data/source/bamCoverage_bw/SN_PAX7_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
165,BasalGanglia-SN-PAX7-GABA_K9Me3,BasalGanglia-SN-PAX7-GABA,197,K9Me3,./Data/source/bamCoverage_bw/SN_PAX7_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
166,BasalGanglia-SN-PAX7-GABA_RNAminus,BasalGanglia-SN-PAX7-GABA,197,RNAminus,./Data/source/ENCODE_RNA_bw/SN_PAX7_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
167,BasalGanglia-SN-PAX7-GABA_RNAplus,BasalGanglia-SN-PAX7-GABA,197,RNAplus,./Data/source/ENCODE_RNA_bw/SN_PAX7_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
168,BasalGanglia-CN-LHX8-GABA_ATAC,BasalGanglia-CN-LHX8-GABA,185,ATAC,./Data/source/ATAC_bw/CN_LHX8_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
169,BasalGanglia-CN-LHX8-GABA_K27Ac,BasalGanglia-CN-LHX8-GABA,185,K27Ac,./Data/source/bamCoverage_bw/CN_LHX8_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
170,BasalGanglia-CN-LHX8-GABA_K27Me3,BasalGanglia-CN-LHX8-GABA,185,K27Me3,./Data/source/bamCoverage_bw/CN_LHX8_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
171,BasalGanglia-CN-LHX8-GABA_K9Me3,BasalGanglia-CN-LHX8-GABA,185,K9Me3,./Data/source/bamCoverage_bw/CN_LHX8_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
172,BasalGanglia-CN-LHX8-GABA_RNAminus,BasalGanglia-CN-LHX8-GABA,185,RNAminus,./Data/source/ENCODE_RNA_bw/CN_LHX8_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
173,BasalGanglia-CN-LHX8-GABA_RNAplus,BasalGanglia-CN-LHX8-GABA,185,RNAplus,./Data/source/ENCODE_RNA_bw/CN_LHX8_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
174,BasalGanglia-CN-LAMP5-LHX6-GABA_ATAC,BasalGanglia-CN-LAMP5-LHX6-GABA,176,ATAC,./Data/source/ATAC_bw/CN_LAMP5-LHX6_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
175,BasalGanglia-CN-LAMP5-LHX6-GABA_K27Ac,BasalGanglia-CN-LAMP5-LHX6-GABA,176,K27Ac,./Data/source/bamCoverage_bw/CN_LAMP5-LHX6_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
176,BasalGanglia-CN-LAMP5-LHX6-GABA_K27Me3,BasalGanglia-CN-LAMP5-LHX6-GABA,176,K27Me3,./Data/source/bamCoverage_bw/CN_LAMP5-LHX6_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
177,BasalGanglia-CN-LAMP5-LHX6-GABA_K9Me3,BasalGanglia-CN-LAMP5-LHX6-GABA,176,K9Me3,./Data/source/bamCoverage_bw/CN_LAMP5-LHX6_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
178,BasalGanglia-CN-LAMP5-LHX6-GABA_RNAminus,BasalGanglia-CN-LAMP5-LHX6-GABA,176,RNAminus,./Data/source/ENCODE_RNA_bw/CN_LAMP5-LHX6_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
179,BasalGanglia-CN-LAMP5-LHX6-GABA_RNAplus,BasalGanglia-CN-LAMP5-LHX6-GABA,176,RNAplus,./Data/source/ENCODE_RNA_bw/CN_LAMP5-LHX6_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
180,BasalGanglia-Monocyte_ATAC,BasalGanglia-Monocyte,84,ATAC,./Data/source/ATAC_bw/Monocyte.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
181,BasalGanglia-Monocyte_K27Ac,BasalGanglia-Monocyte,84,K27Ac,./Data/source/bamCoverage_bw/Monocyte.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
182,BasalGanglia-Monocyte_K27Me3,BasalGanglia-Monocyte,84,K27Me3,./Data/source/bamCoverage_bw/Monocyte.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
183,BasalGanglia-Monocyte_K9Me3,BasalGanglia-Monocyte,84,K9Me3,./Data/source/bamCoverage_bw/Monocyte.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
184,BasalGanglia-Monocyte_RNAminus,BasalGanglia-Monocyte,84,RNAminus,./Data/source/ENCODE_RNA_bw/Monocyte.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
185,BasalGanglia-Monocyte_RNAplus,BasalGanglia-Monocyte,84,RNAplus,./Data/source/ENCODE_RNA_bw/Monocyte.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
186,BasalGanglia-Lymphocyte_ATAC,BasalGanglia-Lymphocyte,75,ATAC,./Data/source/ATAC_bw/Lymphocyte.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
187,BasalGanglia-Lymphocyte_K27Ac,BasalGanglia-Lymphocyte,75,K27Ac,./Data/source/bamCoverage_bw/Lymphocyte.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
188,BasalGanglia-Lymphocyte_K27Me3,BasalGanglia-Lymphocyte,75,K27Me3,./Data/source/bamCoverage_bw/Lymphocyte.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
189,BasalGanglia-Lymphocyte_K9Me3,BasalGanglia-Lymphocyte,75,K9Me3,./Data/source/bamCoverage_bw/Lymphocyte.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
190,BasalGanglia-Lymphocyte_RNAminus,BasalGanglia-Lymphocyte,75,RNAminus,./Data/source/ENCODE_RNA_bw/Lymphocyte.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
191,BasalGanglia-Lymphocyte_RNAplus,BasalGanglia-Lymphocyte,75,RNAplus,./Data/source/ENCODE_RNA_bw/Lymphocyte.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
192,BasalGanglia-SMC_ATAC,BasalGanglia-SMC,51,ATAC,./Data/source/ATAC_bw/SMC.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
193,BasalGanglia-SMC_K27Ac,BasalGanglia-SMC,51,K27Ac,./Data/source/bamCoverage_bw/SMC.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
194,BasalGanglia-SMC_K27Me3,BasalGanglia-SMC,51,K27Me3,./Data/source/bamCoverage_bw/SMC.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
195,BasalGanglia-SMC_K9Me3,BasalGanglia-SMC,51,K9Me3,./Data/source/bamCoverage_bw/SMC.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
196,BasalGanglia-SMC_RNAminus,BasalGanglia-SMC,51,RNAminus,./Data/source/ENCODE_RNA_bw/SMC.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
197,BasalGanglia-SMC_RNAplus,BasalGanglia-SMC,51,RNAplus,./Data/source/ENCODE_RNA_bw/SMC.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
198,BasalGanglia-STR-SST-GABA_ATAC,BasalGanglia-STR-SST-GABA,49,ATAC,./Data/source/ATAC_bw/STR_SST_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
199,BasalGanglia-STR-SST-GABA_K27Ac,BasalGanglia-STR-SST-GABA,49,K27Ac,./Data/source/bamCoverage_bw/STR_SST_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
200,BasalGanglia-STR-SST-GABA_K27Me3,BasalGanglia-STR-SST-GABA,49,K27Me3,./Data/source/bamCoverage_bw/STR_SST_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
201,BasalGanglia-STR-SST-GABA_K9Me3,BasalGanglia-STR-SST-GABA,49,K9Me3,./Data/source/bamCoverage_bw/STR_SST_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
202,BasalGanglia-STR-SST-GABA_RNAminus,BasalGanglia-STR-SST-GABA,49,RNAminus,./Data/source/ENCODE_RNA_bw/STR_SST_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
203,BasalGanglia-STR-SST-GABA_RNAplus,BasalGanglia-STR-SST-GABA,49,RNAplus,./Data/source/ENCODE_RNA_bw/STR_SST_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
204,BasalGanglia-CN-ONECUT1-GABA_ATAC,BasalGanglia-CN-ONECUT1-GABA,33,ATAC,./Data/source/ATAC_bw/CN_ONECUT1_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
205,BasalGanglia-CN-ONECUT1-GABA_K27Ac,BasalGanglia-CN-ONECUT1-GABA,33,K27Ac,./Data/source/bamCoverage_bw/CN_ONECUT1_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
206,BasalGanglia-CN-ONECUT1-GABA_K27Me3,BasalGanglia-CN-ONECUT1-GABA,33,K27Me3,./Data/source/bamCoverage_bw/CN_ONECUT1_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
207,BasalGanglia-CN-ONECUT1-GABA_K9Me3,BasalGanglia-CN-ONECUT1-GABA,33,K9Me3,./Data/source/bamCoverage_bw/CN_ONECUT1_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
208,BasalGanglia-CN-ONECUT1-GABA_RNAminus,BasalGanglia-CN-ONECUT1-GABA,33,RNAminus,./Data/source/ENCODE_RNA_bw/CN_ONECUT1_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
209,BasalGanglia-CN-ONECUT1-GABA_RNAplus,BasalGanglia-CN-ONECUT1-GABA,33,RNAplus,./Data/source/ENCODE_RNA_bw/CN_ONECUT1_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
210,BasalGanglia-CN-GABA-Glut_ATAC,BasalGanglia-CN-GABA-Glut,29,ATAC,./Data/source/ATAC_bw/CN_GABA-Glut.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
