,exp,celltype,celltype_n,modality,file,atlas_name,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,task
25,BasalGanglia-STR-Hybrid-MSN_K27Ac,BasalGanglia-STR-Hybrid-MSN,28557,K27Ac,./Data/source/bamCoverage_bw/STR_Hybrid_MSN.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
26,BasalGanglia-STR-Hybrid-MSN_K27Me3,BasalGanglia-STR-Hybrid-MSN,28557,K27Me3,./Data/source/bamCoverage_bw/STR_Hybrid_MSN.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
27,BasalGanglia-STR-Hybrid-MSN_K9Me3,BasalGanglia-STR-Hybrid-MSN,28557,K9Me3,./Data/source/bamCoverage_bw/STR_Hybrid_MSN.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
28,BasalGanglia-STR-Hybrid-MSN_RNAminus,BasalGanglia-STR-Hybrid-MSN,28557,RNAminus,./Data/source/ENCODE_RNA_bw/STR_Hybrid_MSN.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
29,BasalGanglia-STR-Hybrid-MSN_RNAplus,BasalGanglia-STR-Hybrid-MSN,28557,RNAplus,./Data/source/ENCODE_RNA_bw/STR_Hybrid_MSN.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
30,BasalGanglia-Microglia_ATAC,BasalGanglia-Microglia,14738,ATAC,./Data/source/ATAC_bw/Microglia.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
31,BasalGanglia-Microglia_K27Ac,BasalGanglia-Microglia,14738,K27Ac,./Data/source/bamCoverage_bw/Microglia.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
32,BasalGanglia-Microglia_K27Me3,BasalGanglia-Microglia,14738,K27Me3,./Data/source/bamCoverage_bw/Microglia.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
33,BasalGanglia-Microglia_K9Me3,BasalGanglia-Microglia,14738,K9Me3,./Data/source/bamCoverage_bw/Microglia.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
34,BasalGanglia-Microglia_RNAminus,BasalGanglia-Microglia,14738,RNAminus,./Data/source/ENCODE_RNA_bw/Microglia.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
35,BasalGanglia-Microglia_RNAplus,BasalGanglia-Microglia,14738,RNAplus,./Data/source/ENCODE_RNA_bw/Microglia.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
36,BasalGanglia-OPC_ATAC,BasalGanglia-OPC,14452,ATAC,./Data/source/ATAC_bw/OPC.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
37,BasalGanglia-OPC_K27Ac,BasalGanglia-OPC,14452,K27Ac,./Data/source/bamCoverage_bw/OPC.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
38,BasalGanglia-OPC_K27Me3,BasalGanglia-OPC,14452,K27Me3,./Data/source/bamCoverage_bw/OPC.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
39,BasalGanglia-OPC_K9Me3,BasalGanglia-OPC,14452,K9Me3,./Data/source/bamCoverage_bw/OPC.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
40,BasalGanglia-OPC_RNAminus,BasalGanglia-OPC,14452,RNAminus,./Data/source/ENCODE_RNA_bw/OPC.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
41,BasalGanglia-OPC_RNAplus,BasalGanglia-OPC,14452,RNAplus,./Data/source/ENCODE_RNA_bw/OPC.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
42,BasalGanglia-CN-ST18-GABA_ATAC,BasalGanglia-CN-ST18-GABA,12296,ATAC,./Data/source/ATAC_bw/CN_ST18_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
43,BasalGanglia-CN-ST18-GABA_K27Ac,BasalGanglia-CN-ST18-GABA,12296,K27Ac,./Data/source/bamCoverage_bw/CN_ST18_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
44,BasalGanglia-CN-ST18-GABA_K27Me3,BasalGanglia-CN-ST18-GABA,12296,K27Me3,./Data/source/bamCoverage_bw/CN_ST18_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
45,BasalGanglia-CN-ST18-GABA_K9Me3,BasalGanglia-CN-ST18-GABA,12296,K9Me3,./Data/source/bamCoverage_bw/CN_ST18_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
46,BasalGanglia-CN-ST18-GABA_RNAminus,BasalGanglia-CN-ST18-GABA,12296,RNAminus,./Data/source/ENCODE_RNA_bw/CN_ST18_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
47,BasalGanglia-CN-ST18-GABA_RNAplus,BasalGanglia-CN-ST18-GABA,12296,RNAplus,./Data/source/ENCODE_RNA_bw/CN_ST18_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
48,BasalGanglia-F-M-GATA3-GABA_ATAC,BasalGanglia-F-M-GATA3-GABA,6027,ATAC,./Data/source/ATAC_bw/F_M_GATA3_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
49,BasalGanglia-F-M-GATA3-GABA_K27Ac,BasalGanglia-F-M-GATA3-GABA,6027,K27Ac,./Data/source/bamCoverage_bw/F_M_GATA3_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
50,BasalGanglia-F-M-GATA3-GABA_K27Me3,BasalGanglia-F-M-GATA3-GABA,6027,K27Me3,./Data/source/bamCoverage_bw/F_M_GATA3_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
51,BasalGanglia-F-M-GATA3-GABA_K9Me3,BasalGanglia-F-M-GATA3-GABA,6027,K9Me3,./Data/source/bamCoverage_bw/F_M_GATA3_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
52,BasalGanglia-F-M-GATA3-GABA_RNAminus,BasalGanglia-F-M-GATA3-GABA,6027,RNAminus,./Data/source/ENCODE_RNA_bw/F_M_GATA3_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
53,BasalGanglia-F-M-GATA3-GABA_RNAplus,BasalGanglia-F-M-GATA3-GABA,6027,RNAplus,./Data/source/ENCODE_RNA_bw/F_M_GATA3_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
54,BasalGanglia-F-M-Glut_ATAC,BasalGanglia-F-M-Glut,3221,ATAC,./Data/source/ATAC_bw/F_M_Glut.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
55,BasalGanglia-F-M-Glut_K27Ac,BasalGanglia-F-M-Glut,3221,K27Ac,./Data/source/bamCoverage_bw/F_M_Glut.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
56,BasalGanglia-F-M-Glut_K27Me3,BasalGanglia-F-M-Glut,3221,K27Me3,./Data/source/bamCoverage_bw/F_M_Glut.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
57,BasalGanglia-F-M-Glut_K9Me3,BasalGanglia-F-M-Glut,3221,K9Me3,./Data/source/bamCoverage_bw/F_M_Glut.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
58,BasalGanglia-F-M-Glut_RNAminus,BasalGanglia-F-M-Glut,3221,RNAminus,./Data/source/ENCODE_RNA_bw/F_M_Glut.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
59,BasalGanglia-F-M-Glut_RNAplus,BasalGanglia-F-M-Glut,3221,RNAplus,./Data/source/ENCODE_RNA_bw/F_M_Glut.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
60,BasalGanglia-OT-Granular-GABA_ATAC,BasalGanglia-OT-Granular-GABA,2593,ATAC,./Data/source/ATAC_bw/OT_Granular_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
61,BasalGanglia-OT-Granular-GABA_K27Ac,BasalGanglia-OT-Granular-GABA,2593,K27Ac,./Data/source/bamCoverage_bw/OT_Granular_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
62,BasalGanglia-OT-Granular-GABA_K27Me3,BasalGanglia-OT-Granular-GABA,2593,K27Me3,./Data/source/bamCoverage_bw/OT_Granular_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
63,BasalGanglia-OT-Granular-GABA_K9Me3,BasalGanglia-OT-Granular-GABA,2593,K9Me3,./Data/source/bamCoverage_bw/OT_Granular_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
64,BasalGanglia-OT-Granular-GABA_RNAminus,BasalGanglia-OT-Granular-GABA,2593,RNAminus,./Data/source/ENCODE_RNA_bw/OT_Granular_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
65,BasalGanglia-OT-Granular-GABA_RNAplus,BasalGanglia-OT-Granular-GABA,2593,RNAplus,./Data/source/ENCODE_RNA_bw/OT_Granular_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
66,BasalGanglia-F-GABA_ATAC,BasalGanglia-F-GABA,1515,ATAC,./Data/source/ATAC_bw/F_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
67,BasalGanglia-F-GABA_K27Ac,BasalGanglia-F-GABA,1515,K27Ac,./Data/source/bamCoverage_bw/F_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
68,BasalGanglia-F-GABA_K27Me3,BasalGanglia-F-GABA,1515,K27Me3,./Data/source/bamCoverage_bw/F_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
69,BasalGanglia-F-GABA_K9Me3,BasalGanglia-F-GABA,1515,K9Me3,./Data/source/bamCoverage_bw/F_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
70,BasalGanglia-F-GABA_RNAminus,BasalGanglia-F-GABA,1515,RNAminus,./Data/source/ENCODE_RNA_bw/F_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
71,BasalGanglia-F-GABA_RNAplus,BasalGanglia-F-GABA,1515,RNAplus,./Data/source/ENCODE_RNA_bw/F_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
